"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/MarketplaceBlockout/Modern/Weapons/Assets/VFX/M_MuzzleFlash_01.M_MuzzleFlash_01","49","23","23","1","0.000000","0","23"
"/Game/MarketplaceBlockout/Modern/Weapons/Assets/Scopes/02/Materials/M_Modern_Weapons_Scope_02_Crosshair.M_Modern_Weapons_Scope_02_Crosshair","49","21","21","1","8.344557","0","21"
"/Game/MarketplaceBlockout/Modern/Weapons/Assets/Scopes/02/Materials/M_Modern_Weapons_Scope_02_Fade.M_Modern_Weapons_Scope_02_Fade","49","21","21","1","0.000000","0","21"
"/Game/MainContents/Weapons/Bullets/M_BulletHole.M_BulletHole","49","13","13","1","0.000000","0","13"
"/Game/MainContents/Weapons/Equips/Sniper/M_SniperCrossHair.M_SniperCrossHair","49","11","11","1","0.000000","0","11"
"/Game/MainContents/Weapons/Equips/Sniper/M_SniperRifleLens.M_SniperRifleLens","49","8","8","1","0.000000","0","8"
"/Game/SciFITrooper_Man_03/Materials/M_SciFITrooper_Man_03_Top_Origin.M_SciFITrooper_Man_03_Top_Origin","49","11","11","1","0.000000","0","11"
"/Game/SciFITrooper_Man_03/Materials/M_SciFITrooper_Man_03_Bottom_Origin.M_SciFITrooper_Man_03_Bottom_Origin","49","11","11","1","3.522062","0","11"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","277.063110","0","212"
"/Game/MarketplaceBlockout/Modern/Weapons/Materials/MasterMaterials/MM_Modern_Weapons_Textured.MM_Modern_Weapons_Textured","49","11","11","1","4.438809","0","11"
"/InterchangeAssets/gltf/M_Default.M_Default","49","164","182","6","130.308441","0","182"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","126.339470","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","111.549545","0","166"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","54","54","2","103.761635","0","54"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","156","166","6","116.125542","0","166"
